Title,Link,Authors,Abstract,Keywords,Date
Gender asymmetries in ellipsis: an experimental comparison of markedness and frequency accounts in English,https://ling.auf.net/lingbuzz/005545/current.pdf?_s=T5Am9h01mm7sQ3ZK,"['Sprouse, Jon', 'Messick, Troy', 'Bobaljik, Jonathan']","Bobaljik & Zocca (2011) argue that ellipsis reveals the existence of (at least) two classes of gender-paired nouns, distinguished by the relationship between morphological marking and semantic specification: in the actor/actress class, the grammatically feminine form is specified for conceptual gender, while the unaffixed form is unspecified for conceptual gender, exemplifying the classic markedness asymmetry (Jakobson 1932); in the prince/princess class, despite the same morphological relation between the words, both the affixed and unaffixed form are semantically specified for conceptual gender (female and male, respectively). Bobaljik & Zocca and others (see Merchant 2014, Sudo & Spathas 2016, and Saab 2019) pursue accounts that code the difference between the classes in the linguistic representation of such nouns, incorporating (un)markedness into the explanation. By contrast, Haspelmath 2006 has suggested that differences in the relative frequency of the two forms in each pair may be the cause for the different behavior of the two classes. The frequency approach predicts that the size of the acceptability asymmetries that arise under the ellipsis test will correlate with the size of relative frequency ratio for each noun pair. In this article, we develop a formal experimental version of the Bobaljik & Zocca (2011) ellipsis test for gender asymmetries, and deploy it in two experiments: the first is a curated set of 16 noun pairs in English (by hypothesis 8 of each class), and the second is a test of 58 noun pairs forming a nearly exhaustive set of such pairs in English. We then use the freely available COCA corpus (Davies 2008) to test the prediction of the frequency approach. Our results suggest that the Haspelmath 2006 relative frequency hypothesis is not an empirically adequate competitor for the explanation of these asymmetries, as there is no evidence of a correlation between the size of the asymmetry effects in the acceptability judgment experiment and the size of the ratio of the relative frequency of the two forms in each pair for either the curated set of 16 noun pairs or the nearly exhaustive set of 58.","['gender asymmetries', 'ellipsis', 'experimental syntax', 'acceptability judgments', 'word frequency', 'semantics', 'morphology', 'syntax']",2020
Infixes really are (underlyingly) prefixes/suffixes: Evidence from allomorphy on the fine timing of infixation,https://ling.auf.net/lingbuzz/005581/current.pdf?_s=GfYcoQEBk7EPLN2h,"['Kalin, Laura']","While infixation and allomorphy have long been investigated as independent phenomena (see, e.g., Ultan 1975, Moravcsik 1977, Yu 2007 on infixation, and Carstairs 1987, Paster 2006, Veselinova 2006 on allomorphy), relatively little is known about what happens when infixation and allomorphy coincide. This paper presents the results of the first cross-linguistic study of allomorphy involving infixation, considering 49 case studies from 40 languages (13 language families). Allomorphy and infixation interact in consistent, systematic ways, suggestive of a universal architecture of the morphosyntax-phonology interface. More specifically, the findings support the type of serial architecture proposed by Distributed Morphology and related approaches (Halle and Marantz 1993, 1994, Embick 2010, Bye and Svenonius 2012), and run counter to fully parallel models (e.g., McCarthy and Prince 1993a,b, Prince and Smolensky 1993) and those that take infixation to be “direct” (e.g., Inkelas 1990, Yu 2007, Wolf 2008).
","['morphology', 'phonology', 'morphosyntax', 'infixation', 'allomorphy', 'cyclicity']",2020
Mayan Agent Focus and the Ergative Extraction Constraint: Facts and Fictions Revisited,https://ling.auf.net/lingbuzz/004545/current.pdf?_s=qFAyB6e3hpcyEBGs,"['Coon, Jessica', 'Baier, Nico', 'Levin, Theodore']","Many languages of the Mayan family restrict the extraction of transitive (ergative) subjects for focus, wh-questions, and relativization (A'-extraction). We follow Aissen (2017b) in labelling this restriction the ergative extraction constraint (EEC). In this paper, we offer a unified account of the EEC within Mayan languages, as well as an analysis of the special construction known as Agent Focus (AF) used to circumvent it. Specifically, we propose that the EEC has a similar source across the subset of Mayan languages which exhibit it: intervention. The intervention problem is created when an object DP structurally intervenes between the A'-probe on C and the ergative subject. Evidence that intervention by the object is the source of the problem comes from a handful of exceptional contexts which permit transitive subjects to extract in languages which normally ban this extraction, and conversely, a context which exceptionally bans ergative extraction in a language which otherwise allows it. We argue that the problem with A'-extracting the ergative subject across the intervening object connects to the requirements of the A'-probe on C: the probe on C is bundled to search simultaneously for [A'] and [D] features. This relates the Mayan patterns to recent proposals for extraction patterns in Austronesian languages (e.g. Legate 2014; Aldridge 2017b) and elsewhere (van Urk 2015). Specifically, adapting the proposal of Coon and Keine (to appear), we argue that in configurations in which a DP object intervenes between the probe on C and an A'-subject, conflicting requirements on movement lead to a derivational crash. While we propose that the EEC has a uniform source across the family, we argue that AF constructions vary Mayan-internally in how they circumvent the EEC, accounting for the variation in behavior of AF across the family. This paper both contributes to our understanding of parametric variation internal to the Mayan family, as well as to the discussion of variation in A'-extraction asymmetries and syntactic ergativity cross-linguistically.","[""a'-extraction"", 'extraction restrictions', 'syntactic ergativity', 'agent focus', 'mayan', 'morphology', 'syntax']",2020
Positively polar plurals: Theory and predictions,https://ling.auf.net/lingbuzz/005577/current.pdf?_s=CXHoP0rvunWo4RYC,"['Ahn, Dorothy', 'Saha, Ankana', 'Sauerland, Uli']","Several researchers have suggested that languages vary as to whether number marking on noun phrases is obligatory or optional (Arka & Dalrymple 2017; Biswas 2013; Bylinina & Podobryaev 2020; Corbett 2000; Kim 2005). We develop an implementation of this idea within a theory that assumes that the plural is a semantically vacuous, unmarked number (Sauerland, Anderssen & Yatsushiro 2005 and others). We then explore the semantic consequences of this proposal. One striking prediction of the proposal is that plural nouns should be ungrammatical in antitone environments in languages where number marking is optional, i.e. plurals should be positive polarity items in optional number languages. This prediction arises because the plural form is equivalent to the number neutral bare form in optional number languages. The Efficiency requirement of Meyer (2013) therefore predicts that plurals require local exhaustification in optional number languages since otherwise the bare form is more efficient. Because bare forms are impossible in obligatory number languages, plurals are not predicted to be positive polarity items in such languages. We conclude with an outlook on how to empirically verify the predictions of the theory we presented.","['number', 'exhaustification', 'presupposition', 'bangla', 'korean', 'semantics', 'morphology']",2020
Case-driven plural suppletion in Barguzin Buryat: *ABA versus case containment,https://ling.auf.net/lingbuzz/004504/current.pdf?_s=Ljqk5mHBU957VvtX,"['Davis, Colin']","This paper examines plural suppletion in Barguzin Buryat (Mongolic, Russia), which occurs only
in accusative and genitive noun phrases. The restricted distribution of this process, in particular its absence
in oblique case contexts, is significant for recent research on allomorphy and the feature structure of case
morphology. For much work in this vein, this form of suppletion would qualify as an “ABA” pattern, which is
predicted to be unattested. Here I argue that the suppletive plural morpheme in this language is a portmanteau
that expresses some of the features upon which oblique morphology also depends, thus preventing these
two forms from cooccurring. Hence this suppletive plural superficially has an ABA distribution due to
a paradigm gap stemming from a morphological conflict. Consequently, this pattern does not falsify the
morphological theories that ban ABA patterns under normal circumstances, but rather reveals a principled
exception to them. This investigation also reveals new evidence that case features have an implicational
containment relationship, and that syntactic structures can sometimes fail to be uttered.","['case', 'suppletion', 'aba', 'morphology', 'syntax']",2020
Schwa-deletion in German noun-noun compounds,https://ling.auf.net/lingbuzz/005541/current.pdf?_s=02_YECDF5IIIDBvs,"['Juzek, Tom S.', 'Häussler, Jana']","We report ongoing research on linking elements in German compounds, with a focus on noun-noun compounds in which the first constituent is ending in schwa. We present a corpus of about 3000 nouns ending in schwa, annotated for various phonological and morpho-syntactic features, and critically, the dominant linking strategy. The corpus analysis is complemented by an unsuccessful attempt to train neural networks and by a pilot experiment asking native speakers to indicate their preferred linking strategy. In addition to existing nouns, the experimental stimuli included nonce words, also ending in schwa. While neither the corpus study nor the experiment offer a clear picture, the results nevertheless provide interesting insights into the intricacies of German compounding. Overall, we find a predominance of the paradigmatic linking element -n for feminine and masculine nouns. At the same time, the results for nonce words show that -n is not a default strategy. ","['syntax', 'morphology', 'german', 'compounding', 'schwa-deletion', 'noun-noun compounds', 'corpus analysis', 'acceptability judgment task', 'morphology', 'syntax']",2020
Typology Emerges from Simplicity in Representations and Learning,https://ling.auf.net/lingbuzz/005583/current.pdf?_s=7t6O_qrYNDwPi3qz,"['Lambert, Dakotah', 'Rawski, Jonathan', 'Heinz, Jeffrey']","We derive well-understood and well-studied Subregular classes of formal languages purely from the computational perspective of algorithmic learning problems. We parameterise the learning problem along dimensions of representation and inference strategy. Of special interest are those classes of languages whose learning algorithms are necessarily not prohibitively expensive in space and time, since learners are often exposed to adverse conditions and sparse data. Learned natural language patterns are expected to be most like the patterns in these classes, an expectation supported by previous typological and linguistic research in phonology. A second result is that the learning algorithms presented here are completely agnostic to choice of linguistic representation. In the case of the Subregular classes, the results fall out from traditional model-theoretic treatments of words and strings. The same learning algorithms, however, can be applied to model-theoretic treatments of other linguistic representations such as syntactic trees or autosegmental graphs, which opens a useful direction for future research.","['model theory', 'subregularity', 'grammatical inference', 'formal language theory', 'phonology', 'learning complexity', 'morphology', 'syntax', 'phonology']",2020
Natural Syntax: An Emergentist Primer,https://ling.auf.net/lingbuzz/005544/current.pdf?_s=nVxvJqyuHgBrk6z5,"[""O'Grady, William""]","This short monograph draws on materials from my classes, talks and publications, as well as on new ideas that reflect my current thinking about language and emergence. It consists of 15 short chapters, each focused on the role of emergence in shaping language and its acquisition. It is intended for a general readership.","['emergentism', 'syntax', 'morphology', 'semantics', 'processing', 'anaphora', 'typology', 'case', 'agreement', 'ergativity', 'accusativity', 'language acquisition', 'that-trace effect']",2020
The Loshn Koydesh Component in Contemporary Hasidic Yiddish,https://ling.auf.net/lingbuzz/005511/current.pdf?_s=fW-qYKw9hLmAotAe,"['Belk, Zoë', 'Kahn, Lily', 'Szendroi, Kriszta']","In addition to comprising a central component of Yiddish lexis, loshn koydesh (Hebrew and Aramaic) structures have historically influenced the development of Yiddish grammar. In this paper we examine the use of loshn koydesh elements among 26 native speakers of contemporary Hasidic Yiddish consisting of two subgroups a) 10 Israeli Hasidic Yiddish speakers, for whom Modern Hebrew is a majority co-territorial language, and b) 12 New York Hasidic Yiddish speakers alongside a small group of 4 London Hasidic Yiddish speakers, for whom English is a majority co-territorial language. Participants were given a written questionnaire with tasks examining three issues: 1) the gender of Hebrew/Aramaic nouns; 2) periphrastic verbs with a Hebrew/Aramaic element; and 3) adjectives derived from the loshn koydesh element of periphrastics. The paper has two aims, namely a) to ascertain whether contact with Modern Hebrew and English has resulted in differences in these speakers’ use of the loshn koydesh element of Yiddish, and b) whether there are differences between male and female speakers. Our findings show that there are marked differences on both the geographical and gender axes, many of which are consistent with the speakers' varied exposure to Modern Hebrew, English, and loshn koydesh. We also found that the loshn koydesh component has developed since the pre-War stage of the language and that some of these grammatical changes seem to effect contemporary Hasidic Yiddish usage in all locations and for both genders. We take these developments to provide evidence for the existence of this newly emergent variety of Yiddish – Contemporary Hasidic Yiddish. ","['yiddish', 'morphological gender', 'language contact', 'determiners', 'adjective', 'periphrastic', 'verb', 'morphology', 'syntax']",2020
Productivity and the Acquisition of Gender,https://ling.auf.net/lingbuzz/005533/current.pdf?_s=wp7_PgsJKyVsiWx-,"['Björnsdóttir, Sigríður']","Children’s differing learning trajectories cross-linguistically have been at the forefront of gender acquisition research, often with conflicting results and conclusions. As a result, the source of children’s different learning behaviors in gender acquisition has been unclear. I argue that children’s gender acquisition is driven by the search for productive patterns. First, I provide corpus studies where the predictions of a learning model (Yang, 2016) are formulated. Second, I report the results of an elicited production task on Icelandic-speaking children (N = 26, ages 2;6-6;3 years) and adults (N = 18) that puts these predictions to test. The results suggest that Icelandic-speaking children and adults draw a categorical distinction between productive and unproductive suffixes in Icelandic gender assignment. I discuss the implications of these findings for morphological learning beyond gender acquisition.","['gender', 'morphology', 'rules', 'defaults', 'productivity', 'morphology', 'syntax']",2020
Passivierte Verbalkomplexe - passivized verbal clusters,https://ling.auf.net/lingbuzz/005050/current.pdf?_s=l9uQAWsTGfXF3mw3,"['Haider, Hubert']","Passive is customarily defined with reference to a verb and relational changes in the syntactic realization of its argument structure. However, this is too narrow a perspective. Passive may be applied not only to single verbs but also to verbal clusters. In this case, the passivized verb is the top-most verb in the cluster but the donor verb of the passive subject is a dependent one. The basic grammatical mechanism remains the same, but the argument structure it operates on in different. In the case of verbal clusters, the argument structure of the cluster is the aggregate of the argument structures of the verbs in the cluster. 

Four such cases are analysed, namely the passive of Ecm-constructions (a.k.a. AcI) headed by ""lassen"" (let) or by a perception verb, the passivization of passive, namely the additional passivization of German get-passives, and the passive of German clause-union infinitivals, a.k.a. long-distance passive.
In all these four cases, and in the case of simple verbs, the grammatical means of achieving the passive effect are identical, namely a combination of a participial form with a (semi)-auxiliary. The participle blocks the argument that surfaces as subject in the active construction. In verbal clusters, passive operates on the aggregated argument structure of the cluster, whose existence is independently motivated and necessary for the management of the aggregated argument structure of the clustered verbs. Passive applies to this argument structure in the same manner as it applies to the argument structure of a simple verb.
","['principles and parameters', 'generative syntax', 'morphology', 'syntax']",2020
 Dialect variation in Scottish Gaelic nominal morphology: A quantitative study,https://ling.auf.net/lingbuzz/005507/current.pdf?_s=m8DAIQ4PPetByy-L,"['Iosad, Pavel', 'Lamb, William']","This paper presents a dialectometric analysis of Scottish Gaelic morphology, with a focus on the noun phrase, using previously unpublished data from the Linguistic Survey of Scotland. Fifty-five morphological features were extracted across 201 survey points, and the data subjected to a variety of analyses, including cluster analysis, regression, and correlation analysis. We establish that the Gaelic noun system shows robust diatopic (i. e. geographical) variation; this challenges previous assertions in the literature, which describe Gaelic morphosyntax as geographically uniform. In addition, we argue that our dialectometric results provide an insight into the grammatical structure of the language that is not easily achievable through the analysis of individual varieties. In particular, we argue that the results highlight a dissociation between morphological categories such as case and gender and their morphophonological exponents, which are particularly complex in Scottish Gaelic. The paper thus serves as a proof of concept for the use of dialectometric findings in a theoretical context.","['scottish gaelic', 'morphology', 'dialectology', 'dialectometry', 'morphology']",2020
"Semantic evolution of pre-nominal possessives: A comparative quantitative study of French, Spanish, Portuguese, and Italian",https://ling.auf.net/lingbuzz/005079/current.pdf?_s=a91DUuxI-vdqqXmQ,"['Simonenko, Alexandra', 'Carlier, Anne']","This paper deals with a diachronic shift in the semantics and morphosyntax of possessive DPs in Romance languages. Until now, the prevalent view has been that their evolution follows one of the two diachronic paths: either they stop co- occurring with determiners (French, Spanish) or they start requiring their presence (European Portuguese). Contrary to the common analysis which associates the first case with a transition from a modifier to a determiner semantics of possessives and the second with a retention of a modifier semantics (e.g. Alexiadou 2004), we propose that the only change affecting all Romance languages is the passage from NP to DP grammar, while the semantics of possessives stays unchanged. We argue that the only point of evolutionary divergence is which of the two pre-existing possessive paradigms language retains. Using novel quantitative corpus data, we show for the first time that French, Spanish, and Portuguese undergo exactly the same diachronic evolution: the frequency of determiners goes monotonously up with one possessive paradigm (long forms) and goes up and then down with the other (short forms). The paper contributes to our understanding of evolutionary divergence and convergence, the nature of language change, and the morphosyntax and semantics of possessive DPs by adducing empirical evidence from three novel cases of failed change.","['adnominal possessives', 'language change', 'failed change', 'dp structure', 'dp semantics', 'romance languages', 'semantics', 'morphology', 'syntax']",2020
The Fulfulde/Pulaar Provenance of Jaav (“Jive”),https://ling.auf.net/lingbuzz/005492/current.pdf?_s=y59wmIMfeOeS3rgr,"['Sohna, Zola']","Africanisms in Diasporic languages are important markers of cultural continuity and cultural resistance in the Transatlantic Holocaust. While research of Africanisms in the languages of the United States southeast seacoast, South/Central America, and the Caribbean is extensive, there is little preexisting research on veritable lexical Africanisms in the language of the Native Black American population of the United States mainland (extramural to the southeast seacoast and Louisiana) – as lexical Africanisms among this particular segment of the Native Black American population of the United States are generally thought to be negligible, if not non-existent. However, in this study, I will demonstrate that the language spoken by this segment of the Native Black American population is, in fact, endowed with a great many Africanisms of Fulfulde/Pulaar origin. By providing an analysis of the complex meanings of lexical items as attested by Native Black American informants and comparing these lexical items with 19th-, 20th-, and 21st-century texts of the Fulfulde/Pulaar language – with a particular focus on the source language’s complex system of radicals/root-stems and affixes – I will demonstrate that there is, in fact, a prodigious body of veritable Fulfulde-/Pulaar-derived words and phrases existing in the language of the Native Black American population of the United States mainland that negates the myth of African lexical scarcity in the language of Native Black Americans and connotes cultural continuity and cultural resistance.","['jive', 'africanisms', 'fulfulde', 'pulaar', 'pular', 'creole', 'native black american language', 'black american', 'aave', 'aav', 'semantics', 'morphology']",2020
The VO-OV split of Germanic languages – a T3 & V2 production,https://ling.auf.net/lingbuzz/005508/current.pdf?_s=uyWL4PjuxU0w3wNb,"['Haider, Hubert']","The sizeable Indo-European language families are syntactically homogenous, except for the Germanic family. Germanic is the only Indo-European language family that has split into an OV group (continental West Germanic) and a VO-group (English, North-Germanic). The predecessor languages of the modern Indo-European languages are neither OV nor VO, but representative of a third type (T3), as will be argued.  A single Germanic language, namely Yiddish, has preserved (or regained) its type III quality (amidst T3 Slavic languages). 
What is it that has triggered or facilitated the Germanic split? The answer involves a second ‘exceptional’ trait of Germanic. Germanic is the only Indo-European language family that has developed and maintained the V2 property, with a single language ‘left behind’, namely English. The grammaticalization of the V2 property has facilitated the change and triggered the transition from T3 to OV and VO, respectively. It is a change from an underspecified to a specified directionality of complement selection by the head of the phrase. OV and VO are the immediate results and the equally likely outcome of fixing the unspecified directionality for identification between verbal head and its dependents in changing a T3 proto-grammar.","['diachronic syntax', 'syntactic change', 'word order change', 'morphology', 'north germanic', 'west  germanic', 'slavic', 'romance', 'yiddish', 'old english', 'v2', 'typology', 'v-movement']",2020
Prosody as syntactic evidence: The view from Mayan,https://ling.auf.net/lingbuzz/005199/current.pdf?_s=nNRcq-pmoiWq5put,"['Royer, Justin']","A subset of Mayan languages feature “prosodic allomorphy”, a phenomenon involving morphological alternations at certain prosodic boundaries. In previous work, Henderson (2012) proposes that prosodic allomorphs in K’iche’ provide evidence for non-isomorphisms in the correspondence between syntax and prosody. In this paper, I argue against this view by building on a related extraposition analysis in Aissen 1992. I contribute novel data from prosodic allomorphy from two Mayan languages, Chuj and K’iche’, and show that upon further inspection, there is strong evidence for a syntactic analysis different from the one assumed in Henderson 2012. The new syntax leads to several predictions that are borne out, and crucially, does not force us to mismatches, allowing us to maintain a one-to-one correspondence between syntax and prosody. By taking apparent instances of mismatches as evidence that the syntactic analysis must be revisited, the proposal thus aligns with work such as Steedman 1991, Wagner 2005, 2010, and Hirsch and Wagner 2015. In the last section of the paper, I discuss how the proposal could be restated within phase theoretic approaches to the interface between syntax and phonology, concluding that Mayan prosodic allomorphy poses an interesting challenge for such accounts.","['prosody', 'syntax-phonology', 'mayan', 'extraposition', 'phases', 'morphology', 'syntax', 'phonology']",2020
Across-the-board tonal polarity in Kipsigis: Implications for the morphology-phonology interface,https://ling.auf.net/lingbuzz/005520/current.pdf?_s=gqUlHGT0NMOUFO3E,"['Kouneli, Maria', 'Nie, Yining']","Using novel data from Kipsigis (Southern Nilotic; Kenya), we present the first attested case of across-the-board paradigmatic tonal polarity. The nominative case forms of nominal modifiers (adjectives, possessives, and demonstratives) are segmentally identical to their oblique case counterparts but have the opposite tonal pattern across-the-board: nominative and oblique modifiers differ in not just one but EVERY tonal specification. Kipsigis polarity thus results in maximal tonal contrast between two morphologically related words. We show how the Kipsigis pattern may be captured in an item-and-process theory of morphology with dedicated exchange mechanisms and an item-and-arrangement theory that allows for morpheme-specific phonology; we suggest that an item-and-process approach may provide a more straightforward account.","['tone', 'polarity', 'kipsigis', 'nilotic', 'morphology', 'phonology']",2020
