Title,Link,Authors,Abstract,Keywords,Date
Playful speculations on how language might be and why there is functional material,https://ling.auf.net/lingbuzz/005085/current.pdf?_s=9cwiNwaJtHVYplcA,"['Arsenijevic, Boban']","Hierarchical constituent structures are a hallmark property of natural language. Traditional generative syntax either generates these structures solely in the module of syntax, as in main-stream generativism (Chomsky 1995), or different modules generate them in parallel (Kaplan and. Bresnan 1982, Jackendoff 1983). I argue that the source of hierarchical structure in language is a specific algorithm of knowledge retrieval and update. The procedure of information retrieval and update is domain-general, as it builds, maintains and retrieves general-purpose web-shaped knowledge representations. The way of operation of this component is such that its output consists in the type of hierarchical structures observed among linguistic constituents. These structures, representing segments from the knowledge representation, are mapped to and recovered from the phonological structure by a language specific mapping component. This view dispenses with the module of syntax, reducing the space between phonology and semantics to an algorithm mapping between hierarchical and linear structures. Illustrations are provided of the proposed structure of knowledge representation, of the mechanisms and outputs of the procedure of information retrieval and update, and of main operations involved in the mapping algorithm. It is shown how at a certain stage in the mapping, exactly structures attributed to linguistic expressions in generative grammar, in particular those argued for in Kayne (1994) and in cartographic approaches to syntax (Rizzi 1997, Cinque 1999, Cinque and Rizzi 2008), emerge, thus indicating that the proposed modification of the big picture does not significantly affect the empirical research into the meaning - constituency - word order interactions, or models provided to account for them. It is argued that the material in grammar identified as functional corresponds to those elements of knowledge representation which have priority in retrieval and a special role in the mapping algorithm, due to their universality and/or high frequency of occurrence. A discussion is provided of how this shift affects the architecture of grammar, as well as of some of the other general questions opened by the proposal.","['hierarchical structure', 'language architecture', 'sound-meaning mapping', 'semantics', 'syntax', 'functional material']",2020
Teaching & Learning Guide for: Sound symbolism and theoretical phonology,https://ling.auf.net/lingbuzz/005179/current.pdf?_s=_9uuxSomFwQUyNlN,"['Kawahara, Shigeto']","This is Teaching & Learning Guide for ""Sound symbolism and theoretical phonology"" (https://ling.auf.net/lingbuzz/004885). ","['phonetics', 'sound symbolism', 'pedagogy', 'phonology']",2020
Sound symbolism and theoretical phonology,https://ling.auf.net/lingbuzz/004885/current.pdf?_s=cbFzH9bMJ1lOtqgf,"['Kawahara, Shigeto']","A received wisdom in modern linguistic theories is that the relationships between sounds and meanings are generally arbitrary. However, there is a growing body of evidence suggesting that in some cases sounds and meanings have systematic relationships -- patterns known as ""sound symbolism."" Yet most of these studies are conducted by psychologists, cognitive scientists or cognitive linguists, and currently, only a few theoretical phonologists pay serious attention to sound symbolism. This paper reviews major studies on sound symbolism and argues that sound symbolism can be an interesting topic of exploration for theoretical phonologists. This paper also demonstrates that insights gained by phonological research can shed light on some important issues in the studies of sound symbolism, and vice versa. Overall, I hope that this paper is informative for both theoretical phonologists and researchers who work on sound symbolism.","['sound symbolism', 'the phonetics-phonology interface', 'articulation', 'acoustics', 'cumulativity', 'language acquisition', 'the origin and evolution of languages', 'phonology']",2020
What voiced obstruents symbolically represent in Japanese: Evidence from the Pokémon universe,https://ling.auf.net/lingbuzz/005125/current.pdf?_s=aii4fimjn6GSYLsi,"['Kawahara, Shigeto', 'Kumagai, Gakuji']","Kawahara et al. (2018b) found that within the corpus of existing Pokémon names, the number of voiced obstruents in the characters’ names correlates positively with their weight, height, evolution levels and attack values. While later experimental studies to some extent confirmed the productivity of these sound symbolic relationships (e.g. Kawahara & Kumagai 2019a), they are limited, due to the fact that the visual images presented to the participants primarily differed with regard to evolution levels. The current experiment thus for the first time directly explored how each of these semantic dimensions---weight, height, evolution levels, and attack values---correlate with the number of voiced obstruents in nonce names. The results of two judgment experiments show that all of these parameters indeed correlate positively with the number of voiced obstruents in the names. Overall, the results show that a particular class of sounds---in our case a set of voiced obstruents---can signal different semantic meanings within a single language, supporting the pluripotentiality of sound symbolism (Winter et al., 2019). We also address another general issue that has been under-explored in the literature on sound symbolism; namely, its cumulative nature. In both of the experiments, we observe that two voiced obstruents evoke stronger images than one voiced obstruent, instantiating what is known as the counting cumulativity effect (Jäger & Rosenbach, 2006).","['sound symbolism', 'japanese', 'pokémon', 'cumulativity', 'pluripotentiality', 'phonetics', 'phonology']",2020
English speakers can infer Pokémon types using sound symbolism,https://ling.auf.net/lingbuzz/005129/current.pdf?_s=wBe4eoWcwfhuY440,"['Kawahara, Shigeto', 'Kumagai, Gakuji', 'Godoy, Mahayana']","Sound symbolism, systematic associations between sounds and meanings, is receiving increasing attention in linguistics and related disciplines. One general question that is currently explored is what sorts of semantic properties can be symbolically represented. Against this background, within the general research paradigm which explores the nature of sound symbolism using Pokémon names, several recent studies have shown that Japanese speakers associate certain classes of sounds with notions that are as complex as Pokémon types. Specifically, they associate (1) sibilants with the flying type, (2) voiced obstruents with the dark type, and (3) labials with the fairy type. These sound symbolic effects arguably have their roots in the phonetic properties of the sounds at issue, and are hence not expected to be specific to Japanese. The current study thus tested these sound symbolic associations with English speakers. Two experiments show that they can reliably make these three sound symbolic connections, similar to Japanese speakers. These results support the hypothesis advanced by Shih et al. (2019) that those attributes that are important for survival are actively signaled by sound symbolism.","['sound symbolism', 'pokémon types', 'sibilants', 'voiced obstruents', '[p]', 'phonetics', 'psycholinguistics', 'phonology']",2020
Co-linguistic content projection: From gestures to sound effects and emoji,https://ling.auf.net/lingbuzz/005082/current.pdf?_s=XDiD2TUkek7T43yz,"['Pasternak, Robert', 'Tieu, Lyn']","Co-speech gestures have been argued to trigger inferences that ""project"" in certain linguistic environments, i.e., interact with logical operators in particular ways. Despite recent theoretical and experimental interest in the question of *how* these inferences project, a little-addressed question is *why* gestural inferences project in the way that they do. We present two experiments investigating sentences with co-speech sound effects and co-text emoji in lieu of gestures, revealing a remarkably similar projection pattern to that of co-speech gestures. The results suggest that gestural inferences do not project because of any traits specific to gestures, but rather because of their status as ""co-linguistic content"".","['co-linguistic content', 'gesture', 'emoji', 'sound effects', 'semantics']",2020
How to express evolution in English Pokémon names,https://ling.auf.net/lingbuzz/004891/current.pdf?_s=edwNyINxDE2u15dE,"['Kawahara, Shigeto', 'Moore, Jeff']","This paper is a contribution to the studies of sound symbolism, systematic relationships between sounds and meanings. Specifically, we build on a series of studies conducted within a research paradigm called ""Pokémonastics,"" which uses the Pokémon universe to explore sound symbolic patterns in natural languages. Inspired by a study of existing English Pokémon names (Shih et al. 2018), two experiments were conducted in which native speakers of English were provided with pairs of pre-evolution and post-evolution Pokémon characters, the latter of which were always larger. The participants were given two name choices whose members were systematically different in some phonological properties. The results show the following sound symbolic patterns to be productive: (1) names with higher segment counts are more likely to be associated with post-evolution characters than names with lower segment counts, (2) names containing [a] are more likely to be associated with post-evolution characters than names containing [i], (3) names containing [u] are more likely to be associated with post-evolution characters than names containing [i], and (4) names containing coronals are more likely to be associated with post-evolution characters than names containing labials. Overall, the current results suggest that phonological considerations come into play when English speakers name new creatures. Implications of the current results for the theories of sound symbolism are discussed throughout the paper.


[This paper supersedes lingbuzz/004143]","['sound symbolism', 'pokémonastics', 'voiced obstruents', 'vowels', 'labials', 'fricatives', 'the iconicity of quantity', 'phonology']",2020
"Naturalism, Internalism and Nativism: <What> The Legacy of The Sound Pattern of English <Should Be>",https://ling.auf.net/lingbuzz/005126/current.pdf?_s=Zw31eTnRw7E3n2Pb,"['Reiss, Charles', 'Volenec, Veno']","Three leading ideas of Chomsky's linguistics, naturalism, internalism and nativism, all of which figure prominently in SPE, are ignored or even explicitly rejected in much post-SPE phonological work.","['spe', 'phonology', 'naturalism', 'nativism', 'internalism', 'markedness', 'chomsky', 'french']",2020
Sound symbolic patterns in Pokémon move names,https://ling.auf.net/lingbuzz/003742/current.pdf?_s=8RjHA3mQU9Eeixxx,"['Kawahara, Shigeto']","In recent years, we have witnessed a dramatically growing interest in sound symbolism, systematic associations between sounds and meanings. A recent case study of sound symbolism shows that in Pokémon games, longer names are generally associated with stronger Pokémon characters, and moreover those Pokémon characters with names having more voiced obstruents are generally stronger (Kawahara et al., 2018b). The current study examined the productivity of these sound symbolic effects in the names of the moves that Pokémon creatures use when they battle. The analysis of the existing move names shows that the effect of name length on attack values is robust, and that the effect of voiced obstruents is tangible. These sound symbolic patterns hold, despite the fact that most (= 99%) move names are based on real words in Japanese. An additional experiment with nonce names shows that both of these effects are very robust. Overall, the current paper adds to the growing body of studies showing that the relationships between sounds and meanings are not as arbitrary as modern linguistic theories have standardly assumed. Uniquely, the current analysis of the existing move names shows that such non-arbitrary relationships can hold even when the set of words under consideration are mostly existing words (Shih & Rudin, 2019; Sidhu et al., 2019).



[This paper is in collaboration with Michinori Suzuki (ICU) and Gakuji Kumagai (Meikai)].","['sound symbolism', 'pokemon', 'voiced obstruents', 'mora count', 'move!', 'phonology']",2020
Cumulative effects in sound symbolism,https://ling.auf.net/lingbuzz/004980/current.pdf?_s=HIOPfQxqF26cMie9,"['Kawahara, Shigeto']","Sound symbolism, systematic associations between sounds and meanings, has not generally received much serious attention from theoretical phonologists. On the other hand, there is a dramatically growing interest in sound symbolism by psychologists and cognitive scientists. Against this background, overarching goals of this paper are (i) to show that sound symbolic associations and phonological mappings share a non-trivial property (i.e. cumulativity) and (ii) to demonstrate that the same analytical device - Maximum Entropy Harmonic Grammar - can straightforwardly handle this property in these two apparently disparate domains. By pointing out a non-trivial parallel between sound symbolic connections and phonological mappings, I hope to show theoretical phonologists that studying sound symbolism can be interesting and informative. I also hope to show those researchers who study sound symbolism that an analytical device that theoretical linguists employ is useful in that it allows us to model an important aspect of sound symbolism. My ultimate goal is thus to enhance the communication between theoretical phonologists and researchers who work on sound symbolism who are not yet interested in theoretical phonology. The paper also has a descriptive value in that it summarizes various cases of cumulative effects in sound symbolic patterns from a variety of languages. 
","['sound symbolism', 'theoretical phonology', 'cumulativity', 'maxent', 'ot', 'phonology']",2020
Brownian dynamics for the vowel sounds of human language,https://ling.auf.net/lingbuzz/004898/current.pdf?_s=Wds2MXtpw_YPuD9e,"['Burridge, James', 'Vaux, Bert']","We present a model for the evolution of vowel sounds in human languages, in which words behave as Brownian particles diffusing in acoustic space, interacting via the vowel sounds they contain. Interaction forces, derived from a simple model of the language learning process, are attractive at short range and repulsive at long range. This generates sets of acoustic clusters, each representing a distinct sound, which form patterns with similar statistical properties to real vowel systems. Our formulation may be generalised to account for spontaneous self actuating shifts in system structure which are observed in real languages, and to combine in one model two previously distinct theories of vowel system structure: dispersion theory, which assumes that vowel systems maximize contrasts between sounds, and quantal theory, according to which non linear relationships between articulatory and acoustic parameters are the source of patterns in sound inventories. By formulating the dynamics of vowel sounds using inter-particle forces, we also provide a simple unified description of the linguistic notion of push and pull dynamics in vowel systems.","['dispersion theory', 'vowel systems', 'quantal theory', 'typology', 'chain shifts', 'phonology']",2019
Sound Structure and Sound Change: A modeling approach,https://ling.auf.net/lingbuzz/004842/current.pdf?_s=UtsfEvFd1RXUY_MP,"['Morley, Rebecca']","Research in linguistics, as in most other scientific domains, is usually approached in a
modular way – narrowing the domain of inquiry in order to allow for increased depth
of study. This is necessary and productive for a topic as wide-ranging and complex as
human language. However, precisely because language is a complex system, tied to perception,
learning, memory, and social organization, the assumption of modularity can
also be an obstacle to understanding language at a deeper level.

The methodological focus of this work is on computational modeling, highlighting
two aspects of modeling work that receive relatively little attention: the formal mapping
from model to theory, and the scalability of demonstration models. A series of
implemented models of sound change are analyzed in this way. As theoretical inconsistencies
are discovered, possible solutions are proposed, incrementally constructing a
set of sufficient properties for a working model. Because internal theoretical consistency
is enforced, this model corresponds to an explanatorily adequate theory. And because
explicit links between modules are required, this is a theory, not only of sound change,
but of many aspects of phonological competence.","['computational modeling', 'exemplars', 'diachrony', 'articulatory phonology', 'speech perception', 'phonology']",2019
"How cute do I sound?: The iconic function of segmental alternation in Korean baby-talk register, Aegyo",https://ling.auf.net/lingbuzz/004857/current.pdf?_s=nuQyR5h8-5Fblz2a,"['Jang, Hayeun']","This paper presents the corpus and experimental studies of segmental alternation as strategies of the baby- talk register in Korean, Aegyo. Using a frequency analysis on Twitter and a cuteness-rating experiment, we address questions about the relationship between types of segmental alternation used in the Aegyo register and the iconic strength of Aegyo expressions. We find that the preference for Aegyo expressions and the degree of cuteness of Aegyo forms are determined by how natural the sound sequence resulting from the alternations was in Korean phonological structure. This suggests an interaction between the pure phonological constraints and the register-specific constraints in core grammar. We also find evidence that gender and age can be at play as a scaling factor of the register-specific constraints: older speakers and female speakers are more sensitive than are younger and male speakers to levels of cuteness in Aegyo expressions, depending on the segmental alternation used in the expressions. This is because the function of Aegyo register is to set up a special childlike persona of addressers in intimate relationship by rejecting mature language and intentionally speaking like a child.","['baby-talk speech register', 'iconic strength', 'segmental alternation', 'gender and age effects', 'phonology']",2019
Cross-linguistic and language-specific sound symbolism: Pokémonastics,https://ling.auf.net/lingbuzz/004725/current.pdf?_s=njTVL4SLcpgOFktn,"['Shih, Stephanie', 'Ackerman, Jordan', 'Hermalin, Noah', 'Inkelas, Sharon', 'Jang, Hayeun', 'Johnson, Jessica', 'Kavitskaya, Darya', 'Kawahara, Shigeto', 'Oh, Miran', 'Starr, Rebecca', 'Yu, Alan']","The cross-linguistic prevalence of sound symbolism raises key questions about the universality versus language-specificity of sound symbolic correspondences. One challenge to studying cross-linguistic sound symbolic patterns is the difficulty of holding constant the real-world referents across cultures. In this study, we address the challenge of cross-linguistic comparison by utilizing a rich, cross-linguistic dataset drawn from a multilingual entertainment franchise, Pokémon. Within this controlled universe, we compare the sound symbolisms of Pokémon names (pokemonikers) in six languages: Japanese, English, Mandarin, Cantonese, Korean, and Russian. Our results show that the languages have a tendency to encode the same attributes with sound symbolism, but crucially also reveal that differences in sound symbolism are rooted in language-specific structural and lexical constraints.","['sound symbolism', 'iconicity', 'names', 'onomastics', 'phonology', 'corpus linguistics', 'cognitive science', 'english', 'japanese', 'mandarin', 'cantonese', 'russian', 'korean', 'translation', 'localization', 'phonology']",2019
On sound symbolism in baseball player names,https://ling.auf.net/lingbuzz/004689/current.pdf?_s=w1Fo1DpZJAjphoZW,"['Shih, Stephanie', 'Rudin, Deniz']","Recent work has argued that sound symbolism plays a much larger part in language than previously believed, given the assumption of the arbitrariness of the sign.  A slate of recent papers on Pokémonastics, for example, has found sound symbolic associations to be rampant in Pokémon names cross-linguistically. In this paper, we explore a real-world dataset that parallels Pokémon, in which human players similarly have physical attributes of weight, height, and power: Major League Baseball. We investigated phonological correlations between baseball player statistics and their given first names, chosen baseball-official first names, and baseball nicknames. We found numerous sound symbolic associations in player-chosen names and nicknames, where conscious design plays a role in choosing a name that may communicate an attribute. These associations were often mediated by language-specific hypocoristic formation processes. We conclude that sound symbolism occurs in real-world naming practices, but only when names are chosen agentively in cognizance of the relevant attributes.","['sound symbolism', 'iconicity', 'names', 'onomastics', 'phonology', 'corpus linguistics', 'cognitive science', 'english', 'baseball', 'phonology']",2019
What's in a PreCure name?,https://ling.auf.net/lingbuzz/004604/current.pdf?_s=GrCILKDtZWvXxIg7,"['Kawahara, Shigeto']","This paper analyzes names in PreCure, a popular anime series in Japan, from the perspective of sound symbolism. It shows that labial consonants are overrepresented in the PreCure names compared to other name types. I argue that labial consonants symbolically represent cuteness and/or innocence, and that this sound symbolic principle is responsible for the distributional skew in the PreCure names. Other possible sound symbolic effects in PreCure names are also discussed. ","['sound symbolism', 'phonetics', 'lability', 'phonology']",2019
